NetworkName,0VOEM1,0VOEM2,0VOEM3,0VOEM4,0VOEM5,0VOEM6,0VOEM7,0VOEM8,0VOEM9,0VOEM10,0VOEM11,0VOEM12,1VOEM1,1VOEM2,1VOEM3,1VOEM4,1VOEM5,1VOEM6,1VOEM7,1VOEM8,1VOEM9,1VOEM10,1VOEM11,1VOEM12,2VOEM1,2VOEM2,2VOEM3,2VOEM4,2VOEM5,2VOEM6,2VOEM7,2VOEM8,2VOEM9,2VOEM10,2VOEM11,2VOEM12,3VOEM1,3VOEM2,3VOEM3,3VOEM4,3VOEM5,3VOEM6,3VOEM7,3VOEM8,3VOEM9,3VOEM10,3VOEM11,3VOEM12
304,122,463,239,234,755,174,121,411,66,58,519,186,164,0,217,112,999,0,0,0,0,0,792,87,29,638,185,135,999,199,63,297,83,51,807,151,67,0,68,112,1266,0,0,0,0,0,1003,52
305,122,645,225,225,727,167,121,521,76,66,672,136,151,0,201,108,968,0,0,0,0,0,917,101,53,871,171,120,896,179,81,260,127,57,894,167,94,0,86,87,1101,0,0,0,0,0,1089,57
306,87,642,311,204,660,152,131,328,67,42,505,142,245,0,184,86,771,0,0,0,0,0,853,94,71,577,216,80,597,119,78,330,189,53,829,155,60,0,82,93,736,0,0,0,0,0,1067,56
307,114,665,179,216,702,162,99,487,96,58,243,171,208,0,237,97,872,0,0,0,0,0,469,52,41,784,181,98,728,145,96,387,200,37,564,105,73,0,74,87,898,0,0,0,0,0,799,42
308,87,722,299,255,828,191,100,422,95,41,408,164,215,0,175,118,1059,0,0,0,0,0,727,80,60,525,168,124,926,185,98,324,191,46,721,135,119,0,85,109,1116,0,0,0,0,0,938,49
309,90,584,224,190,615,142,124,467,57,53,467,150,150,0,229,89,797,0,0,0,0,0,734,81,54,488,171,85,630,126,97,315,202,49,770,144,113,0,103,103,728,0,0,0,0,0,987,51
310,91,728,207,225,726,167,110,653,77,61,445,198,228,0,216,99,890,0,0,0,0,0,686,76,35,671,177,99,741,148,92,479,213,46,721,135,104,0,117,92,884,0,0,0,0,0,941,49
311,118,658,212,249,804,185,102,312,86,40,426,165,176,0,259,119,1062,0,0,0,0,0,666,74,74,729,235,118,880,176,81,377,227,47,740,138,54,0,83,82,1120,0,0,0,0,0,1004,52
312,113,580,365,225,729,168,124,419,72,41,509,176,200,0,262,103,922,0,0,0,0,0,899,99,51,704,264,104,768,153,83,207,206,59,928,174,98,0,93,78,927,0,0,0,0,0,1212,63
313,82,688,281,231,747,172,111,292,42,63,268,176,208,0,257,105,942,0,0,0,0,0,594,66,48,545,220,119,883,176,73,334,116,44,680,127,78,0,94,97,1100,0,0,0,0,0,925,48
